judul_lagu;nama_artis;playlist_name;url;genre_lagu;lyrics
Fana Merah Jambu;Fourtwnty;INDIE INDONESIA TOP HITS;https://open.spotify.com/track/463XKKFCPlcrhtlwGbEovu;['indonesian folk', 'indonesian indie', 'indonesian pop'];Di depan teras rumah Fana merah jambu, ku berdua Momen-momen tak palsu Air tuhan turun, aromamu  Tersalurkan aliran syaraf buntu Martin tua media pembuka  Berdansa sore hariku Sejiwa alam dan duniamu Melebur sifat kakuku  Hal bodoh jadi lucu Obrolan tak perlu kala itu  Tersalurkan aliran syaraf buntu Martin tua media pembuka ...
Rumah Ke Rumah;Hindia;INDIE INDONESIA TOP HITS;https://open.spotify.com/track/2wAiFWjRupWmnDkQcu91MF;['indonesian pop'];Menyesal tak kusampaikan Cinta monyetku ke Kanya dan Rebecca Apa kabar kalian di sana? Semoga hidup baik-baik saja  Tak belajar, terkena getahnya Saat bersama Thanya dan Saphira Ku percaya, mungkin bukan jalannya Namun, kalian banyak salah juga  Jika dahulu ku tak cepat berubah Ini maafku untukmu, Sharfina Segala doa yang baik adanya Untukmu dan mimpimu yang mulia  Pindah berkala rumah ke rumah Berharap bisa berujung indah Walau akhirnya harus berpisah T'rima kasih kar'na ku tak mudah  Pindah berkala rumah ke rumah Berharap bisa berujung indah Walau akhirnya harus berpisah ...
Sampai Jadi Debu (Menampilkan Gardika Gigih);Banda Neira;INDIE INDONESIA TOP HITS;https://open.spotify.com/track/0ROj512WvJ1eqeELd7MEdJ;['indonesian folk pop', 'indonesian indie', 'indonesian pop'];Badai Tuan telah berlalu Salahkah ku menuntut mesra? Tiap pagi menjelang Kau di sampingku Ku aman ada bersamamu  Selamanya Sampai kita tua ...
Merapuh;ROFA;INDIE INDONESIA TOP HITS;https://open.spotify.com/track/3CnJTBnSANVACsP984X7rU;['lagu melayu'];Langit menyuram Gerimis pun turun Alam nan sendu seperti hati Merasa sendiri Kar'na ditinggal pergi Kekasih tambatan hati  Siang mengelam Senja pun layu Malam makin kelu Hindari mimpi menjepit nadi Menanti pagi Berharap kekasihku kembali ...
Sebelah Mata;Efek Rumah Kaca;INDIE INDONESIA TOP HITS;https://open.spotify.com/track/3M0RfjqAJZ1f6qXJkP1Uej;['indonesian alternative rock', 'indonesian indie', 'indonesian indie rock'];Sebelah mataku yang mampu melihat Bercak adalah sebuah warna-warna mempesona Membaur suara, dibawanya kegetiran Begitu asing terdengar  Sebelah mataku yang mempelajari Gelombang 'kan mengisi seluruh ruang tubuhku Terbentuk dari sel aku Dan tiap tetes adalah sebuah proses yang alami  Tapi sebelah mataku yang lain menyadari ...
Berdistraksi;Danilla;INDIE INDONESIA TOP HITS;https://open.spotify.com/track/55bmTrFYialBaZacYVejWw;['indonesian folk', 'indonesian indie', 'indonesian jazz', 'indonesian singer-songwriter'];'Ku melangkah terseok 'tuk dibunuh waktu Seingatku waktu itu kau bersamanya Menjadi bulan-bulanan oleh perasaan 'Ku diabaikan dalam sendu  Hatiku membiru Terperangkap, menggerutu  Mengalihkan peristiwa Menantikan kenyataan yang tak kunjung usai sampai Ujung waktu tiba hingga 'Ku jatuh tenggelam dalam keresahan ...
Liburan Indie;Endah N Rhesa;INDIE INDONESIA TOP HITS;https://open.spotify.com/track/0PbeTpEPWhylKFmBgneA4g;['indonesian folk', 'indonesian folk pop', 'indonesian indie'];Saat ku berjalan Tanpa ragu, tanpa bimbang Takkan kulepaskan Engkau dari genggaman tanganku  Uh-hu-hu-hu, hu-hu Uh-hu-hu-hu, hu-hu  Melepas lelah Pergi jauh 'tuk kembali lagi Bersamamu s'lalu Tak ingin berakhir waktuku  Menikmati pagi, sore, dan malam Secangkir kopi panas, santai tanpa batas Lalu ada Sir Dandy bernyanyi ...
Pagi Yang Mesra;ROFA;INDIE INDONESIA TOP HITS;https://open.spotify.com/track/3nigj9tlvyLxJ9O4g15YRp;['lagu melayu'];Pagi berawan Alam sendu merayu Senyum bening tulusmu Sebening embun di pucuk daun  Rintik gerimis Angin dingin membelai Wajahmu bercahaya mesra Pencarkan gairah hidup ...
Senja Di Ambang Pilu;Danilla;INDIE INDONESIA TOP HITS;https://open.spotify.com/track/0ozCiYwzpYkb7N4etcjrnh;['indonesian folk', 'indonesian indie', 'indonesian jazz', 'indonesian singer-songwriter'];Bertegur sapa di kala senja Memerah, meredam nyala surya Dengan dia yang mencuat di batas kalbu Memeluk hatiku yang dibelai rindu  Tak berdaya, ku berada Di ambang waktu 'tuk memulai pilu Ku tenggelam ke alam sepi Ku ditelan sunyi, memikirkanmu  Ho-oh-oh, ho-oh-oh Ho-oh-oh, ho-oh-oh ...
"Seperti Rahim Ibu (From ""Mata Najwa"")";Efek Rumah Kaca;INDIE INDONESIA TOP HITS;https://open.spotify.com/track/07eEhlCGJDQqHRyEh5V8gn;['indonesian alternative rock', 'indonesian indie', 'indonesian indie rock'];Dengarlah Nyanyi sunyiku Bait risauku Rindu terpendamku Menyala dalam hayatku  Duka padamu Luka padaku Saling lebur Menghalau awan mendung  Kemanusiaan itu Seperti terang pagi ...
